ts,uptime_s,role,frames_total,kernel_drops,last_frame_age_s
1776114936,1331.3571351570008,brio-synths,39897.0,0.0,0.006972896000661422
1776114941,1336.359707087,brio-operator,37377.0,0.0,0.028903808999530156
1776114941,1336.359707087,c920-desk,40089.0,0.0,0.02193819199965219
1776114941,1336.359707087,c920-room,40075.0,0.0,0.014483790000667796
1776114941,1336.359707087,c920-overhead,40080.0,0.0,0.0025146779989881907
1776114941,1336.359707087,brio-room,40044.0,0.0,0.0165233919997263
1776114941,1336.359707087,brio-synths,40048.0,0.0,0.017053327999747125
1776114946,1341.3608171369997,brio-operator,37519.0,0.0,0.03173777099982544
1776114946,1341.3608171369997,c920-desk,40241.0,0.0,0.02919239299990295
1776114946,1341.3608171369997,c920-room,40226.0,0.0,0.015488930999708828
1776114946,1341.3608171369997,c920-overhead,40231.0,0.0,0.003523768999002641
1776114946,1341.3608171369997,brio-room,40196.0,0.0,0.017419542999050464
1776114946,1341.3608171369997,brio-synths,40200.0,0.0,0.018504264999137376
1776114951,1347.3649663630003,brio-operator,37660.0,0.0,0.0028469709995988524
1776114951,1347.3649663630003,c920-desk,40392.0,0.0,0.03153731800011883
1776114951,1347.3649663630003,c920-room,40378.0,0.0,0.0188230570001906
1776114951,1347.3649663630003,c920-overhead,40382.0,0.0,0.011562067000340903
1776114951,1347.3649663630003,brio-room,40347.0,0.0,0.020349533999251435
1776114951,1347.3649663630003,brio-synths,40351.0,0.0,0.021623927999826265
1776114956,1352.368082725001,brio-operator,37801.0,0.0,0.004718662001323537
1776114956,1352.368082725001,c920-desk,40543.0,0.0,0.03603994700097246
1776114956,1352.368082725001,c920-room,40529.0,0.0,0.02578913400066085
1776114956,1352.368082725001,c920-overhead,40533.0,0.0,0.01208389300154522
1776114956,1352.368082725001,brio-room,40498.0,0.0,0.02303862400003709
1776114956,1352.368082725001,brio-synths,40502.0,0.0,0.023796242001481005
1776114961,1357.369901899001,brio-operator,37942.0,0.0,0.011065001001043129
1776114961,1357.369901899001,c920-desk,40694.0,0.0,0.0002253520015074173
1776114961,1357.369901899001,c920-room,40679.0,0.0,0.02839891300027375
1776114961,1357.369901899001,c920-overhead,40684.0,0.0,0.017480682001405512
1776114961,1357.369901899001,brio-room,40648.0,0.0,0.025963776000935468
1776114961,1357.369901899001,brio-synths,40652.0,0.0,0.026714224000897957
1776114966,1362.371409337,brio-operator,38083.0,0.0,0.017071857999326312
1776114966,1362.371409337,c920-desk,40845.0,0.0,0.0031832650001888396
1776114966,1362.371409337,c920-room,40831.0,0.0,0.028163470000436064
1776114966,1362.371409337,c920-overhead,40835.0,0.0,0.01975588799905381
1776114966,1362.371409337,brio-room,40799.0,0.0,0.02710592899893527
1776114966,1362.371409337,brio-synths,40803.0,0.0,0.029379573999904096
1776114971,1367.3740891840007,brio-operator,38225.0,0.0,0.019636646000435576
1776114971,1367.3740891840007,c920-desk,40997.0,0.0,0.005503180000232533
1776114971,1367.3740891840007,c920-room,40983.0,0.0,0.0008792500011622906
1776114971,1367.3740891840007,c920-overhead,40988.0,0.0,0.020288532999984454
1776114971,1367.3740891840007,brio-room,40952.0,0.0,0.02614128800087201
1776114971,1367.3740891840007,brio-synths,40956.0,0.0,0.02654416200130072
1776114976,1372.3917298329998,brio-operator,38370.0,0.0,0.03896533799888857
1776114976,1372.3917298329998,c920-desk,41152.0,0.0,0.018821247000232688
1776114976,1372.3917298329998,c920-room,41138.0,0.0,0.017429210998670897
1776114976,1372.3917298329998,c920-overhead,41143.0,0.0,0.009681405999799608
1776114976,1372.3917298329998,brio-room,41107.0,0.0,0.009898837999571697
1776114976,1372.3917298329998,brio-synths,41111.0,0.0,0.015185956999630434
1776114981,1377.396712611,brio-operator,38513.0,0.0,0.002660930000274675
1776114981,1377.396712611,c920-desk,41306.0,0.0,0.014908523999110912
1776114981,1377.396712611,c920-room,41292.0,0.0,0.02666448399941146
1776114981,1377.396712611,c920-overhead,41297.0,0.0,0.01637791100074537
1776114981,1377.396712611,brio-room,41261.0,0.0,0.015084405999004957
1776114981,1377.396712611,brio-synths,41265.0,0.0,0.02102755200030515
1776114986,1382.3985769110004,brio-operator,38654.0,0.0,0.011502097000629874
1776114986,1382.3985769110004,c920-desk,41457.0,0.0,0.02941811399978178
1776114986,1382.3985769110004,c920-room,41443.0,0.0,0.02834344199982297
1776114986,1382.3985769110004,c920-overhead,41447.0,0.0,0.01714275899939821
1776114986,1382.3985769110004,brio-room,41411.0,0.0,0.015550092000921723
1776114986,1382.3985769110004,brio-synths,41415.0,0.0,0.022151174000100582
1776114991,1387.401304477,brio-operator,38795.0,0.0,0.006166687999211717
1776114991,1387.401304477,c920-desk,41608.0,0.0,0.03190122100022563
1776114991,1387.401304477,c920-room,41594.0,0.0,0.03581332399880921
